,text,emotion
131,I hope so . Thank you for saying so .,happiness
134,"Peter , it's a quarter to twelve . Let's go home now !",anger
135,My shopping life will be more convenient .,happiness
136,It is depressing to hear the price goes higher and higher .,sadness
137,Of course .,happiness
138,"No , honey , the balcony is full of boxes and things . I'm sorry .",sadness
142,Thanks .,happiness
143,But that still sounds expensive .,sadness
144,"Sorry , we can ’ t come down any more .",sadness
147,"Sure , whatever you need .",happiness
148,Really ?,surprise
149,Sure sounds good to me .,happiness
152,My goodness ! My silk dress is shrunk . How did you wash it ?,surprise
153,I'm so sorry . I have no idea of it . I washed silk dress the first time . I'll buy a new one for you or I'll give you money .,sadness
158,"Yes , just a moment , please .",happiness
162,I think it ’ s too expensive . I can just give you 4 yuan . Or I ’ ll go to another B .,sadness
164,It seems I find the right place .,happiness
166,All right . See you tomorrow .,happiness
169,Terrific . May I stop by to get that two tickets tomorrow afternoon ?,happiness
170,Got it . Thanks for calling . Bye .,happiness
171,Sure . Here you are .,happiness
175,Don't mention it .,happiness
178,Certainly . Here it is .,happiness
179,Ouch ! I just bit my tongue .,sadness
180,"Oh , that hurts .",sadness
181,I think it's bleeding .,sadness
182,Ahahah ! What is that thing on your couch ! It just moved !,surprise
183,"No , he's perfectly harmless . And he's not afraid of strangers either . Here , hold him .",happiness
184,Wow . He's heavy ! And his skin feels really cool .,happiness
186,"I don't know about all of that , but think about it , their business gets free publicity !",happiness
187,"Oh , yeah , they get to be in a movie for the whole world to see !",happiness
188,Certainly .,happiness
189,"Not from this brand , I'm afraid .",sadness
191,Good heavens ! Don't bring that frog in the house .,anger
192,Shame on you . I was saving them for your brother .,anger
193,"I'm so sorry about your brother , Mr . Wang .",sadness
195,What is that ? It looks like something from a swamp !,happiness
196,Uh ! Dad !,anger
199,You don't know what you are asking !,anger
200,Thanks very much .,happiness
201,Thank you . But a number of things have been going wrong lately .,sadness
202,That's too bad . What problems are you having .,sadness
203,"Wow , you really do have a talent for this , Alice . Thanks for the suggestions .",happiness
204,"You are welcome , Jack . Glad to be of help .",happiness
205,Oooo . This sounds serious .,sadness
206,Come on mom . I'm your A ! Wait till the guys hear about this !,anger
207,Really ?,surprise
208,Thank you !,happiness
209,"And when we're done , I'll show you some great stuff to take care of the rest .",happiness
210,It's too expensive .,sadness
211,Thank you .,happiness
212,"Oh , it looks well . I like it very much .",happiness
213,It's not expensive . I'll take it .,happiness
215,"Well , the tapestry is delicate and beautiful .",happiness
216,"Mmm , it is reasonable . Look at this set of table wear , it is so beautiful !",happiness
217,All right . I will take one .,happiness
218,I see . Thank you .,happiness
222,"Of course . These paintings have many designs , such as animals , flowers , landscape , aquatics and so on .",happiness
223,All right . Chinese embroidery is one traditional art with elaborate design and high quality .,happiness
224,"OK , I will wrap them for you .",happiness
225,Certainly . Here you are .,happiness
228,Thank you . Here is four hundred yuan .,happiness
229,Thank you . Please come again .,happiness
230,Thank you for noticing ! I've been making a few lifestyle changes over the past year .,happiness
231,Tell me about it . I'm interested .,happiness
232,Yes ! I finally lost that last five pounds I've been working on forever !,happiness
233,I'm impressed . Good for you !,happiness
235,"Good , I will take the one hour facial with make-up .",happiness
236,Certainly not .,sadness
237,So that we can sit down together and listen to some music .,anger
238,I loved it . I'll take it .,happiness
242,You're in luck . We still have that little table .,happiness
243,Sure . Here you go .,happiness
246,No problem at all .,happiness
248,"Yard work ? I said ' what are we doing for fun ' , not work !",surprise
251,Mom ! I'll wear a helmet and I'll drive sane . I promise .,anger
252,That's amazingly low for such a huge accident !,surprise
253,"Oh , sorry ! I forgot you get queasy with the sight of blood . I'll be right there .",sadness
254,"I'm sorry , but I just can't find the key . You must have it .",sadness
255,Thanks .,happiness
257,I'm afraid it is . So you will have to pay two yuan extra . The total charge is four yuan .,sadness
260,Sounds good . What are the gifts attaching ?,happiness
261,"No problem . You can try this kind of gel which can prevent freckle , the effect will be better if you use this powder foundation applied with it .",happiness
262,That's the very thing I want .,happiness
264,"No , thanks .",happiness
265,I can't believe the way our landlord cheated us .,surprise
266,Sure .,happiness
268,At least I enjoy my lunch ! What's in your bag ?,anger
269,"There's the difference , your wife made it ! I have to make my own lunch !",anger
270,Sure . I'll do it after lunch . What length do you need ?,happiness
271,"Yes , no problem . It'll be ready by 2 p . m .",happiness
272,No ! My tour bus got a speeding ticket not ten minutes ago . Now my engine is on fire !,sadness
273,Please . Thank you so much for stopping .,happiness
274,"It's a deal , Hal . Thanks again for stopping to help . And thanks for smashing my car !",happiness
275,"No , I didn't . I'm sorry . It won't happen again .",sadness
276,I'm going crazy .,anger
277,"Oh ! It's perfect . I think I'll take it . Would you wrap it , please ?",happiness
278,"OK . Wait for a moment , please .",happiness
279,No problem . Wait for a moment .,happiness
281,"OK , here you are .",happiness
282,All right . Thank you .,happiness
283,"Ann , it's terrible !",anger
284,I think it's because of your bad habits !,anger
285,I wasn't aware of that !,surprise
288,I am glad you are happy .,happiness
289,It's super .,happiness
290,"Sorry , but I'm not really that interested in those things .",sadness
291,I am afraid I am not interested in fashion .,sadness
292,Sorry I couldn't help you .,sadness
293,"Like me ? But you see I am so successful now . And if he is really like me , he will be more successful than me in the future .",anger
294,"Pay him ? But he studies for himself , not for you or for me or for anybody else . I got an idea . You should send him to class every morning and after the class begins , you can go to work .",anger
295,I quarreled with my roommate last night . He is really stubborn .,anger
296,He is really outrageous .,anger
297,What ? He can't do this to you .,surprise
298,"Well , he did it anyway . Then he came into my room and shot all his shit blah blah blah ... you know .",anger
299,I shouted it back of course .,anger
300,"No way , Kate . I mean it's just not my fault .",anger
301,I am too angry to do that .,anger
302,"That smells great . I'll take one bottle , please .",happiness
303,"That will be all . You've been very helpful , thanks .",happiness
304,"Thank you very much , madam . Here are some samples of our products . Do try them out .",happiness
305,You seem to have bought the whole market !,surprise
306,Sounds like you've done your homework . I think you're ready for this .,happiness
307,"Thanks , but I don't want to put you into any trouble .",happiness
311,It's none of your business .,anger
312,I'm going out anyway . Get out of my way .,anger
315,I'm afraid that's the best we can do .,sadness
316,"If so , I'd better try another store .",sadness
317,Of course . Can I have it delivered to my girlfriend's house this afternoon ?,happiness
319,That means a lot to me Dad . Thanks .,happiness
321,"Mom , look ! My first piggy bank and it still has money in it !",surprise
324,It is thoughtful . I will take it .,happiness
325,"Yes , we can have a picnic on the top of the hill .",happiness
328,Thanks for noticing .,happiness
329,That's amazing . What tips did your trainer give you ?,happiness
330,Thanks for the advice .,happiness
331,No problem .,happiness
332,I don't care . I have a headache .,anger
333,Oops !,surprise
335,"Hi , I'm home ! Can you double that recipe ? I ran into an old friend after work and invited him for dinner .",happiness
337,Can you believe her ? She is not even a hundred pounds and she is going off on how she wants to go on a diet .,surprise
340,Great . I'll get our plan started right away .,happiness
342,OK . It's 22 yuan,happiness
343,Here you are .,happiness
344,"Oh , I'm terribly sorry . but I couldn't find the yoghurt I saw here last time .",sadness
345,OK . I hope so .,happiness
347,Good idea,happiness
349,Of course .,happiness
350,"Great . At first , you can put the chairs back .",happiness
351,Thank you . I'll wash them .,happiness
352,OK . Then I will clean the table .,happiness
353,Good boy .,happiness
354,I wish my parents were a little more lenient .,sadness
355,"Well , I still hate having a curfew .",sadness
358,Why ? You can't be always so lazy .,anger
361,"Son , it looks great on you .",happiness
363,"Sorry , sir . That table has been reserved . This way , please . How about this one , sir ?",sadness
364,Hi ! Fiona ? I almost didn't recognize you . You are much thinner since I last saw you .,surprise
365,Sorry . You can only pay in cash .,sadness
369,"Oh , this one is perfect .",anger
370,"I'm sorry , but I'm afraid you've dialed the wrong number.There is no Stefan here .",sadness
371,Really ? Are you sure ? I called before and he was there .,surprise
372,"Oh , I'm sorry I bothered you . I'm really sorry .",sadness
373,Sorry again for bothering you .,sadness
374,I'm afraid he is not in at the moment .,sadness
376,You're welcome . Bye .,happiness
377,"Of course . Wait for a moment , please .",happiness
379,Thanks .,happiness
381,It was great . I made some friends .,happiness
383,But the lessons this semester are a little bit hard .,sadness
384,They aren't hard . I am sure you can do it .,happiness
386,"Thanks . Please give me the style in this picture here but make the wave longer . I would like hair spray , please .",happiness
390,That sounds great !,happiness
391,Thank you so much . That's very kind of you .,happiness
392,Thank you .,happiness
393,Thank you . I have got quite clear idea of it .,happiness
394,Thank you . I will deal with it .,happiness
395,Thank you .,happiness
398,Thank you .,happiness
399,Thank you .,happiness
400,Not at all .,happiness
401,You've come to the right store . We've got a beautiful and wide selection of necklaces for you to choose from .,happiness
403,Didn't tell me what ? What ?,surprise
404,"Uniforms , sis , no more worrying about appearances !",happiness
405,You mean I have to wear the same thing every day ? MOM !,surprise
406,"I am sorry , but you need a receipt for a refund .",sadness
407,That sounds good . I'll take the escalator .,happiness
408,Good luck . I hope someone can help you .,happiness
410,Good . How much does it come to ?,happiness
412,Sounds good .,happiness
414,Thanks .,happiness
415,"Oh , sorry to have bothered you .",sadness
416,My washing machine isn't working .,sadness
417,You can't be serious .,surprise
418,"I'm sorry , but the price is final .",sadness
419,That ’ s a little troublesome .,sadness
423,I'm afraid I can't . Parking is not allowed here .,sadness
425,No . I'll try them . Sounds good .,happiness
427,"Take-out , please .",happiness
428,"Great , I ’ ll see you then .",happiness
429,See you .,happiness
432,Playing tennis twice a week will be a good start . Count me in .,happiness
433,"Oh , that ’ s very sad .",sadness
434,"Yeah , that ’ s what I told her . I ’ m glad she ’ s reaching out for help , instead of trying to deal with this on her own .",happiness
437,OK . Thank you .,happiness
438,Not back home for dinner again ? That's the third time this week !,surprise
439,I'm sorry . Our company has just opened . There are always too many things to handle . You know that .,sadness
440,Please forgive me . You have my word . I'll spend some time with you on the weekend . I promise .,sadness
441,Thank you for understanding . I promise I'll make it up to you .,happiness
442,"Sounds good , regular car wash package will be OK .",happiness
445,That sounds good . Which one do you recommend ?,happiness
447,That sucks . I'd be pissed if that happened to me .,anger
448,"Oh my gosh . Damn ... screw the court , I would burn down their store .",anger
449,Thanks a lot .,happiness
451,Thank you so much for your help .,happiness
454,"Thanks , honey . It's great to be back .",happiness
457,Thanks !,happiness
459,There's still a lot left-have some more !,happiness
461,Sounds good .,happiness
462,Thanks .,happiness
463,Thank you .,happiness
466,Your budget is a good idea .,happiness
468,That's fantastic . I think I like this one .,happiness
469,I'm sorry . There are no sales today .,sadness
474,Yes . That's perfect . I'll take it .,happiness
476,That sounds like a good deal .,happiness
477,I'll take a dozen .,happiness
478,I'm sure your wife will love them .,happiness
479,It's a good diet and a regular exercise .,happiness
480,"Yes , quite right .",happiness
482,Thank you . Have a nice day .,happiness
483,White Rose Restaurant . Good afternoon ! Can I help you ?,happiness
486,"I'm sorry , madam , there ’ s a limit to the speed .",sadness
487,Damn it ! I think I'm going to miss the plane .,anger
488,Really ? Great !,happiness
491,"Well , that's reasonable . I'll take it .",happiness
492,Excellent . Would you like anything else ?,happiness
495,I'm sorry . I'll get you a new player .,sadness
499,"Thank you , but I'm just browsing today .",happiness
500,Okay . Enjoy your browsing .,happiness
503,Thank you .,happiness
505,I apologize for their tardiness .,sadness
506,I was late for work because of them .,anger
507,"Again , I do apologize for the inconvenience .",sadness
508,I want my money back for the delivery .,anger
509,No . I'm afraid the price is too low .,sadness
510,That is a wonderful idea .,happiness
511,Thank you for your help .,happiness
512,No problem . Good luck .,happiness
513,"In that case , I don't think I'll buy one here .",sadness
515,I'm afraid you can't .,sadness
517,"Come on , fellows . Let's enjoy my wife's cooking !",happiness
518,"Em , it's delicious !",happiness
519,Thank you ! My wife likes cooking very much .,happiness
521,At the age of 64 ? You're kidding !,surprise
523,"No , thanks .",happiness
524,I'm afraid not . The price is very moderate .,sadness
525,OK . I'll take it .,happiness
528,Working in the gym is a very good way for losing weight . What else do you have ?,happiness
530,Sure . We have both skirts and trousers that would look well with the T-shirt . Look at this section .,happiness
532,You have good taste . It is very much in style this year .,happiness
533,Aren't you crazy ?,surprise
534,I'm afraid I'm going to the gym for a workout .,sadness
535,"Of course , yes .",happiness
536,I'd be very pleased .,happiness
537,No so good . I broke traffic regulations yesterday and I got a ticket .,sadness
538,"Well , I had a blood test last week . The doctor said that I have high blood pressure and my blood is thick and sticky . I'm very worried .",sadness
540,What an excellent idea !,happiness
542,I feel so tired .,sadness
544,"Very good , sir . Your order will be ready in one week .",happiness
545,"No problem , sir . But it will cost you extra .",happiness
546,It's not expensive . OK . I'll take them .,happiness
547,I'm afraid he is not in at the moment .,sadness
548,Thank you . Bye-bye !,happiness
551,"Nothing else , thank you .",happiness
552,"Sorry , but this is the best price . You can ’ t get it any cheaper than here .",sadness
553,I'm afraid you can ’ t . You ’ re welcome to pay in cash .,sadness
562,Good-bye .,happiness
563,"Oh honey , I tell you good news . The apartment I looked at today was pretty decent , around 120 square meters .",happiness
564,Very quiet and safe . And it ’ s got a lot of trees and plants .,happiness
566,Forget it ! It was a bitter pill for me to swallow .,anger
571,No problem .,happiness
573,"I'm afraid not , sir .",sadness
574,What a pity !,sadness
578,I have never heard that men would trim their eyebrows . Are you kidding ?,surprise
579,I'm glad I asked you . So this is aisle 6 where I can find all the canned fruits and vegetables .,happiness
580,"Sorry , I forgot . I don ’ t like seafood , neither .",sadness
582,I'm sorry . These batteries are not on sale .,sadness
583,"I'm so sorry , but rules are rules .",sadness
584,I'm sorry I couldn't help you .,sadness
585,"Sorry , but he is out for lunch right now .",sadness
586,"That's nice . My name is Steven , my phone number is 6789777 . Okay , I'll be waiting for his call . Thank you and bye !",happiness
588,"Thank you , but I'm just looking around . How much does this skirt cost ?",happiness
589,"Pure gold ones , please . This is so beautiful . I'll take it .",happiness
590,Sure . Please come this way .,happiness
592,You look really beautiful in it .,happiness
594,What ? But today is my birthday !,surprise
604,"Thanks , Sue .",happiness
605,Really ? OK !,happiness
609,"No , thanks .",happiness
610,Out ? What do you mean out ?,surprise
611,Thank you . It looks very attractive .,happiness
612,Tasty and tender ! It must be one of the famous local dishes .,happiness
615,With pleasure .,happiness
617,"Very well , I'll take these two .",happiness
620,Goodbye .,happiness
621,"Why ? it doesn't make sense . If we do the floors first , and then paint the walls , we will get paint all over our new floor .",surprise
624,"Very good , sir . A table for 6 at 8: 00 this evening . May I have your name , please ?",happiness
628,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ?",happiness
629,"Thank you . Oh , it's very delicious .",happiness
633,"No , I don't have any plans to go to a formal dance any time soon , but I love the way it looks . I just want to try it on ! What do you think about this ? It's casual , yet sophisticated .",happiness
634,That's a good idea . You have a lot of good fashion sense .,happiness
636,That looks great . Just one more thing-you need some high heels with those jeans . Do you want a pair with a plain pattern or ones with a leopard print on them ?,happiness
638,"I am sorry , but I can't lend it to you now , for I haven't finished reading it . If you don't mind , I can lend you some back numbers to you .",sadness
646,"Doctor , my child is nine years old , and I recently found that he was constantly telling lies about how he is doing at school .",sadness
647,Milk ? I thought you didn't like milk .,surprise
648,"Oh , Jim . I told you . No pets . It'll make a mess of this house .",anger
649,No way . It might belong to somebody else . You can't keep it here .,anger
650,"I will . Thank you , Mummy .",happiness
653,"Oh , that's no problem .",happiness
654,Yes . It's superb .,happiness
656,"That's great . But can you make the rent cheaper , let's see , 12,000 Yuan ?",happiness
657,OK . I will be free at tomorrow afternoon . I'll take a taxi to get there .,happiness
663,"Wow , that would be very convenient . How much is the rent ?",happiness
664,That definitely sounds like a steal . I think that is a very trendy neighborhood as well .,happiness
665,"That sounds fantastic ! But I am looking for something closer to the downtown , as I spend most of my time at the office .",happiness
666,"I'm sure it is wonderful , but I need an unfurnished apartment with relatively lower cost .",happiness
667,Great ! I'll arrange a viewing after work tomorrow afternoon . Could you tell me the detailed address ?,happiness
669,"Thank you , Mr . William . Goodbye .",happiness
670,"Just a moment , sir . Let me check the reservation list . Sorry , I'm afraid we're fully booked tonight . Would you like to make a reservation some other time ?",sadness
673,"Thank you . ( A moment later ) Oh , this one is quite impressive . I'll take it . By the way , do you sell pearl earrings ?",happiness
674,"Oh , I see . I think I prefer a natural one .",happiness
675,"Sorry , but I'm on my way out now . Could you come back in an hour ?",sadness
678,"Oh , Thank you . I'm looking for the train station .",happiness
679,"Sure , why not ?",happiness
681,"I like the cool smell , too .",happiness
682,That's good . Thank you .,happiness
683,It's good . It's a nice room .,happiness
684,Thank you .,happiness
685,Of course and very well .,happiness
689,"Thanks . I don't suppose you have some paper , too .",happiness
691,Thanks so much . I owe you one .,happiness
692,I see what you mean . That was pretty easy after all .,happiness
694,That will be perfect .,happiness
698,Thank you . That's enough .,happiness
699,"My pleasure . Just a little while , your order will be ready very soon . Please enjoy your lunch .",happiness
700,Thanks .,happiness
701,"I'm sorry , but you see , all the tables by the window are small , with up to 4 seats .",sadness
703,We should plan to move out of here before July . I'm tired of living in apartments .,sadness
704,Thank you .,happiness
705,"Oh , this is just fine .",happiness
708,You're welcome .,happiness
709,"Me ? Cook our dinners ? Hah ! You will be cooking , dear . You will cook .",sadness
711,Oh . that's very nice of him .,happiness
714,You're welcome .,happiness
716,You are welcome .,happiness
717,Goodness me ! So many choices ! I think I'll have a cappuccino please .,surprise
718,Thank you .,happiness
720,My pleasure .,happiness
722,Thank you for your help .,happiness
724,"Hmm , I don't feel very comfortable .",sadness
727,"Of course . The fitting room is this way , please .",happiness
729,"OK . Give me one , please .",happiness
730,Here it is .,happiness
733,Really ?,surprise
735,You're welcome .,happiness
736,It sounds good .,happiness
739,You must be kidding ! You cannot get that price anywhere .,surprise
740,"Okay , I'll be right back ... Congratulations ! The manager approved the final price $ 15,000 .",sadness
741,You are really tough . You got a deal .,sadness
742,Thanks !,happiness
743,"Yes , I would . Thanks a lot .",happiness
744,"OK . Wait for a moment , please . I'll be back in a moment with the dishes .",happiness
745,OK . Thank you .,happiness
746,I'm afraid this course is for four persons .,sadness
747,"I'm afraid not , sir .",sadness
748,"No , thanks .",happiness
754,No problem .,happiness
757,Do you have hypertension ? I would have thought you were too young .,surprise
758,"Well , I'm glad you're starting to pay more attention to your diet .",happiness
759,"Bob , look at this sentence . ' Healthy eating is not about strict nutrition philosophies , staying unrealistically thin , or depriving yourself of foods you love . ' It's interesting , isn't it ?",happiness
760,Seriously ?,surprise
761,Thank you . Your cash back is $ 13 . Pull into a parking space . And we'll bring out your fries in two minutes .,happiness
762,Thanks .,happiness
764,I'm always at your service .,happiness
765,OK . I'll take the blue one .,happiness
770,"OK , we will choose it .",happiness
771,"Wait for a moment , I'll come back soon .",happiness
773,Good . Now just complete this form .,happiness
774,Thank you . I'll bring your order right away .,happiness
775,"Thank you , sir . Just a moment , please .",happiness
777,That sounds OK . I'll need it from the 10th to the 14th .,happiness
778,Fine . Now complete this form and sign your name at the bottom .,happiness
779,All right .,happiness
783,Thank you .,happiness
786,"Thank you , sir . Could you sign the voucher here , please ?",happiness
787,"Thank you , sir . Hope to see you again soon .",happiness
789,"Thank you . The change , sir .",happiness
790,That's a relief .,happiness
792,How slowly you drive !,anger
793,I'm sorry . Something is wrong with my taxi .,sadness
794,Sorry . You'd better get off for taking another taxi .,sadness
795,"Oh , no ! What should I do now ?",sadness
796,That is a long way to go . It is so kind of you to help me . Thank you very much .,happiness
798,"I'm sorry , but you got on the wrong bus .",sadness
801,That's great . Thank you very much .,happiness
802,Thank you very much .,happiness
804,Excellent . I'll start practicing my dance moves .,happiness
805,I am glad you like it . Welcome next time .,happiness
807,Thank you . Please bring us a bottle of dry white wine .,happiness
809,"Oh , my dear sister , I am no longer a baby !",anger
810,I don't think so . You have to wait for about 10 minutes .,sadness
811,"No problem . Follow me , please .",happiness
812,Sounds great ! Can you stop somewhere here for a minute ? I will get some souvenirs for my friends .,happiness
813,No problem .,happiness
814,Let me see ... I am sorry the tables you want are booked .,sadness
816,"Sorry , sir . That table has been booked .",sadness
818,It's very kind of you .,happiness
819,"No , sir . I'm afraid not .",sadness
820,"Sorry , sir . We have only double tables left .",sadness
822,"Oh , Madam , buy what ?",surprise
823,I'm sorry to have bothered you .,sadness
825,"I'm sorry , but I don't know that name . You must have the wrong number .",sadness
826,I'm sorry to have bothered you .,sadness
827,No problem .,happiness
828,"I am sorry , there are so many travelers that all our tables have been booked on that day .",sadness
831,"I am sorry , madam . All the tables are booked now .",sadness
833,Of course .,happiness
834,"OK , thank you .",happiness
835,"Oh , I'm sorry . should have been 2135-3668 , not 3678 . I've given you a wrong number .",sadness
836,Thank you .,happiness
837,"Wow , Amy , look at that number .",happiness
838,What do you mean ? It's a scrim .,surprise
839,I love that kind of stuff .,happiness
840,"Yes , thank you so much .",happiness
841,"No problem , sir .",happiness
843,Get out of it ! It wasn't as good as you think .,anger
844,Thank you .,happiness
845,Thanks .,happiness
847,"I am sorry , sir . All the tables have been booked .",sadness
848,what a pity .,sadness
850,"Yes , thank you .",happiness
851,I am sorry . That table has been booked .,sadness
853,Thank you . I've got just 50 minutes to go . Can we manage ?,happiness
854,"Okay , we'll put it in the trunk . Ah , it is so heavy .",surprise
857,Thank you .,happiness
858,My pleasure .,happiness
859,Of course not.There are so many people here today .,happiness
860,"OK , sir . We will be there right now ... sir , your table is ready .",happiness
862,My parents are always saying I am not good enough .,sadness
863,I don ’ t think they are right . I have tried my best and that's enough . It is unfair that they are always saying these thing . Sometimes I even feel deeply hurt .,sadness
865,"Thanks for inviting me to work out with you , Joan .",happiness
866,"Good for you , Leslie !",happiness
868,That's good . You can make breakfast yourself if you don't like it .,happiness
874,"My birthday present ? I can't help telling you that I am a happy woman , darling . I will come back soon . ( Go to her bedroom and wear the new dress , then show it to Steven . )",happiness
875,It fits me exactly . How does it look like ?,happiness
876,"It displays your slender figure , darling .",happiness
877,The most important thing is that you bought it for me . I am happy that you know my size and style .,happiness
878,Because you are my dear wife .,happiness
879,Thank you . Where is the washing room ?,happiness
880,"No , I'm sorry we don't . We accept credit cards and cash .",sadness
883,"No problem , sir .",happiness
884,"Well , sir , I think I have made a mistake . I will take it back to the kitchen right now .",sadness
885,"Yes , sir . I'm really so sorry about that .",sadness
886,"It looks good . Pack me a bouquet of violet , please .",happiness
888,"It's good , try it . What do you think ?",happiness
889,Wow . It is good . Did you make that also ?,happiness
890,You're a really good cook .,happiness
891,"Thanks , next time I'll make chicken soup for us .",happiness
893,"I am sorry , sir . Your fish will be ready in five minutes so you can't change it .",sadness
894,"Sure . We have lemon pies , apple pies , coffee rum pies and ice cream .",happiness
899,Thank you . We'd like to have some dessert .,happiness
900,"I am sorry , sir , it's for 4 persons to have . I think it's too large for you .",sadness
901,"Sorry , sir . We have never done that before .",sadness
902,It looks delicious . Can you tell me how to enjoy it ? It's my first time to eat it .,happiness
903,Thanks a lot .,happiness
906,"Thanks for your explanation , I would like it well-done .",happiness
907,You are not going to believe this . Do you remember the dress we saw at Mayors that was so beautiful and expensive ? I got it today at half price .,happiness
908,How can you stay so calm ? Aren't you going to take a look to see if there is anything for you ?,surprise
909,"Wow , what a cool car ! The styling of this car really appeals to me .",happiness
910,Hum ... OK . I will take it .,happiness
911,May I have a look at that china tea set ? It is extremely beautiful .,happiness
912,Good . How about this picture of cranes with pine trees ? It was painted by a famous Chinese painter in King Dynasty .,happiness
913,"It's a lot of money . But the picture is excellent , I'll take it .",happiness
914,"Oh , I'm sorry . I didn't see the stop sign at the corner . I didn't mean it .",sadness
915,"Oh , sorry , I don't have it on me . Honestly , I forgot it at the house . But I have the insurance policy with me . Here it is .",sadness
916,"Oh , my God . It ’ s beautiful . But it looks expensive .",happiness
917,I want to have a car like that . But I am not rich . And I don ’ t have a rich daddy .,sadness
