,text,emotion
71,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neutral
72,Oh.  Totally.,happiness
73,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx
74,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],happiness
75,Like you need another one of those.[LAUGHTER],happiness
76,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx
77,Is that your phone?,happiness
78,"Yeah, so [LAUGHTER] He's calling me now",excited
79,He loves you.,happiness
80,"He likes to keep tabs, you know.",happiness
81,How much did he win at the slot?,neutral
82,"Uh, I think seven hundred and fifty dollars.",neutral
83,Really? Penny slots?,surprise
84,Penny slots. That's what he plays.,neutral
85,Wow.,surprise
86,Yeah.,neutral
87,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neutral
88,Oh.,xxx
89,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,happiness
90,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neutral
91,Fifty bucks. Mmhmm.,neutral
92,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neutral
93,Yeah.,neutral
94,Well so now we're married. We have cat children.,happiness
95,Awesome.,excited
96,[LAUGHTER] Cat babies.,happiness
97,"We renamed Brenda, Lumber Janet.",happiness
98,That's fair enough.,neutral
99,She needs a new name each state that we go into. [LAUGHTER],happiness
100,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",xxx
101,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",xxx
102,Fine.,neutral
103,"Okay.  Is that, is that--",excited
104,No.  That's just foam.  I don't know.  I can't tell.,xxx
105,[BREATHING],frustration
106,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",xxx
107,Oh no.  you know what I forgot?,xxx
108,What?,xxx
109,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",xxx
110,What flashlight?,surprise
111,"The flashlight, the silver one.  There's only one, isn't there?",neutral
112,That's not your flashlight.,neutral
113,Whose is it?,neutral
114,It's ours; it's my flashlight too.,xxx
115,"Oh...well. Yeah, of course.",neutral
116,You keep saying my flashlight like it's just yours.,anger
117,No.,neutral
118,How's that supposed to make me feel?,anger
119,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",neutral
120,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",frustration
121,Do they always run during a full moon?  I don't remember.  Was it full last year?,neutral
122,Yeah.,neutral
123,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",neutral
124,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",neutral
125,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",excited
126,[LAUGHTER],happiness
127,I wonder if they can hear me talk or like feel the vibrations in the sand when we move around.,xxx
128,I'm cold.,sadness
129,Do you want my jacket?,frustration
130,"It's after eleven, let's go.",xxx
131,What?  We just got here.  What's the point of coming all the way down here if we just turn around and go home?,xxx
132,There is no point.,xxx
133,Right.,neutral
134,That's my point.,xxx
135,"Wait, that's my point, too.",neutral
136,"Well, then let's go.",frustration
137,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",frustration
138,Not particularly.,neutral
139,Why not?,neutral
140,I just don't.  It's stupid.,xxx
141,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",neutral
142,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",frustration
143,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neutral
144,This is a big night for these little guys.  It's like life's last orgy.,neutral
145,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,xxx
146,Yeah they do.,frustration
147,Oh Augie,frustration
148,"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs.",xxx
149,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",neutral
150,I'm just not.,xxx
151,For real?,surprise
152,Yeah.,frustration
153,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",neutral
154,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neutral
155,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",xxx
156,Ahh...we weren't in a good spot.,neutral
157,Hmm.  We didn't see them the year before either.,frustration
158,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neutral
159,"Look there, see?  What's that?  No, that's - that's just seaweed.",excited
160,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",happiness
161,"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map.",xxx
162,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",excited
163,They are swimming right now.  They are swimming as if that is the only thing that matters to them.,xxx
164,It's single mindedness with no mind.  It is urgency that is just pure urge.,excited
165,And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,xxx
166,"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm.",xxx
167,That's the wind.,neutral
168,So what do you think?,happiness
169,About what?,neutral
170,"About all of that, about all I was talking about.",happiness
171,What he's going to say?,frustration
172,He saw it.,neutral
173,When?,surprise
174,He was out here at four this morning.,xxx
175,How could he see it?  I was the first one up and he was still in bed.,surprise
176,I was out here at four this morning I heard a crack and I looked out the window and he was standing right over there.,neutral
177,What was he doing here at four in the morning?,surprise
178,I don't know.  But he went back in the kitchen and he cried.,sadness
179,Did you talk to him?,sadness
180,No.  I figured I'd just let it wait.,sadness
181,Cried hard?,sadness
182,"Yeah, I could hear him crying through the floorboards in my room.",sadness
183,[BREATHING],sadness
184,What is he doing out here at that hour?,frustration
185,I don't know.,sadness
186,"He's dreaming about him again, walking the streets.",anger
187,I guess he is.,sadness
188,It's getting to be just like after he died.  What is the meaning of that?,xxx
189,I don't know the meaning of it.  But I know we've made terrible mistake with father.,frustration
190,What?,surprise
191,"I mean, these kinds of things, man they always come back at you.  And this is definitely coming back to us.",xxx
192,What do you mean a mistake?,anger
193,"I just--why shouldn't he walk the nights waiting for him, huh?  Do we contradict him do we say we don't have any hope any more that he's not coming back?",frustration
194,"What do you want to do, argue with him?",frustration
195,"I don't want to argue with him, it's just for God's sake it's time he realized that no one believes with him any more.",frustration
196,You can't say that to him.,xxx
197,I got to.,frustration
198,"What, can you prove it?  What proof do you have?  Can you prove it?",anger
199,"For God's sake, three years?  Nobody comes back after three years. It's insane.",frustration
200,"To you it is, to me it is.  But to your father?  You can talk yourself 'til you're blue in the face but there's was no grave and there is no body.  So where are you?",anger
201,"Okay, all right.  Mom, sit down.  I want to talk to you.",frustration
202,The trouble is those god damn news papers.  Every month some boy comes back missing longer then Larry so--,anger
203,"Yeah, okay all right, all right.  Listen, um, you know why I asked Annie here, right?",frustration
204,Why?,anger
205,You know.,xxx
206,"Well, I've got an idea but what's the story?",xxx
207,I'm going to ask her to marry me.,neutral
208,"Well, that's only your business, Chris.",frustration
209,You know it's not just my business.,frustration
210,"Well, what do you want me to do?  You're old enough known your own business.",anger
211,So it's okay then?  I'm just going to go ahead with it?,frustration
212,You want to make sure that your father's not going to...,xxx
213,"See.  Then it's not just my business. Sometimes you infuriate me, you know that?  You know it's just your business too if I tell father and he throws a fit about it, huh?",anger
214,I'm just saying.,frustration
215,I'm sorry.  I ignore what I've got to ignore. That girl is Larry's girl.,anger
216,She is not Larry's girl.,anger
217,"From father's point of view he is not dead and you have no right to take his girl.  I'm just saying that you can go on from there if you know where to go but I'm saying I don't know where to go.  See, I don't know.",anger
218,I don't know why it is you know every time I reach out for something I have to pull back 'cause I'm afraid it's going to hurt somebody.  All my life...,frustration
219,You're a considerate fellow.  There's nothing wrong in that.,neutral
220,To hell with that.,anger
221,Did you ask Annie yet?,neutral
222,"No, I wanted to get this all sorted out first.",sadness
223,"Well, how do you know she's going to marry you?  Maybe she feels same way your father does.",frustration
224,"Well, if she does then that's the end of it.  However from her letters I think she's pretty much forgotten him.",xxx
225,"The trouble is you don't see enough women, you never did.",frustration
226,So what?  I'm just--I'm not fast with women.,frustration
227,I don't see why it has to be Annie.,anger
228,Because it is.,frustration
229,"That's a good answer but it doesn't answer anything.  You haven't seen her since you went away to war, it's been five years.",anger
230,"I don't know, it I think of her, I grew up next to her.  She is what I think of when I think of a wife.",frustration
231,"He thinks he's coming back, Chris.  You marry that girl you're pronouncing him dead.",sadness
232,"Do you know what that'll do to you, to your father, do you know?  I don't.",anger
233,All right then.,xxx
234,Give it some more thought.,xxx
235,I've given it lots of thought.  And I keep coming back to the same thing.,frustration
236,"When I think of a family, when I think of my future I see Annie in the center of that and you know and if that can't happen here then I'll go somewhere else.",frustration
237,What the hell is this?,surprise
238,I'll leave.  I'll get married and move somewhere else maybe New York.,frustration
239,Are you crazy?,anger
240,I'll do it.,xxx
241,You have a business here.  I said what the hell is this?,anger
242,Business?  The business doesn't inspire me.,anger
243,"Oh, must you be inspired.",anger
244,"Yes, yes I like it for one hour a day.  I don't care if I have to grub for money all day long when I come home I want it nice, I want a family, I want to kids and Annie is in the center of that.",anger
245,If that can't happen here...,frustration
246,You mean to tell me you would leave the business for this.,xxx
247,"Yes, on this I would.",neutral
248,"Well, you don't want to think like that.",anger
249,Then help me stay here mom.,sadness
250,"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you.",anger
251,"I know, I know.",xxx
252,Then help me stay.,sadness
253,"Well, you don't think like that.",anger
254,I am thinking like that.,anger
255,"I don't understand you, do I?",anger
256,"No, you don't.  I'm a pretty tough guy.",sadness
257,"Well, I can see that.",anger
258,You okay?,neutral
259,"Yeah, I'm just-- yeah",sadness
260,"Just kind of feel numb, you know.",sadness
261,What's happened?,neutral
262,You didn't even hear?,sadness
263,[BREATHING] Umm.,sadness
264,God I've told this story so many times. Umm.,sadness
265,You don't have to if you don't want to.,neutral
266,I just...I just basically lost someone that was really close to me.,sadness
267,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",sadness
268,I'm sorry to hear that.,sadness
269,"He kind of didn't have anyone to take care of that for him, so--",sadness
270,You've been taking care of it all?,sadness
271,Oh Jesus.,sadness
272,It's just really...really messed up.,sadness
273,He sick for awhile?,sadness
274,No.,sadness
275,Just like it.,sadness
276,Was it an accident?,neutral
277,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",sadness
278,how was sick?,neutral
279,What?,sadness
280,"Well, I'm confused.  He was sick or it was an accident?",neutral
281,"He was sick. He got sick. He got sick but it happened really, really fast, you know.",sadness
282,Oh. Really fast? Oh.,neutral
283,It was kind of like boom... done,sadness
284,Yeah.,neutral
285,It's just really weird because he was really young you know and it kind of like...,sadness
286,Yeah.,neutral
287,--it just kind of freaks you out.,sadness
288,"Totally, yeah.",neutral
289,So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.,sadness
290,Mmhmm.,neutral
291,Lock,neutral
292,Mmhmm.,neutral
293,The plans you make [GARBAGE].,neutral
294,"Exactly, you know, and like he had so many plans and he was going to do...",sadness
295,It leaves a hole for you too.,neutral
296,"so many things, you know?",sadness
297,"It leaves a hole for you too, in your plans together.",neutral
298,What?,sadness
299,Yeah.,sadness
300,It gets better.,neutral
301,"He was a really, really good guy.",sadness
302,Mmhmm.,neutral
303,A lot of people loved him.,sadness
304,MMhmm.,neutral
305,"You know, it's like affecting a lot of people it's not just me, you know?",sadness
306,Mmhmm.,neutral
307,How long did you know each other?,neutral
308,Umm...,sadness
309,For like eight years.,sadness
310,That's a long time.,neutral
311,Yeah.,sadness
312,It's good that you were there.,neutral
313,"Yeah, I'm glad I was there. Glad I- glad I got to be there.",sadness
314,"So weird,",sadness
315,Yeah.,neutral
316,"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know.",sadness
317,Are there things you wish you'd done differently?,neutral
318,"Look at this, all of the hairs are standing up on my arm.",excited
319,That's the wind.,neutral
320,"Well, so, what do you think?",excited
321,About what?,neutral
322,About what I was saying.,neutral
323,I think it's ridiculous.,xxx
324,It certainly is not.  It's slightly exaggerated scientific fact.,xxx
325,It's PR! Somebody sold you a bunch of crap that there is this wonderful thing that is going to happen tonight on the beach.,xxx
326,"Not just me, look at all of these people.",frustration
327,"Everybody's told the same story.  It keeps us coming back for more, it keeps us excited.  We keep thinking that life is going start at any minute if we can just find the right spot, get in on the action.",xxx
328,"Are we talking about the same thing, here?",xxx
329,"I'm sorry, it's just fish to me.",xxx
330,"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",neutral
331,"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",anger
332,"Well then, what's bugging you?",frustration
333,We just have different ideas of what this night is supposed to look like.,frustration
334,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",frustration
335,"For God- Grow up, Augie.  The fish are not going to arrive.",anger
336,Why not?,frustration
337,Because they never do.  Have they...Have they ever?,anger
338,We've missed them twice.,frustration
339,Twice is every time we have tried; that's ever.,anger
340,They'll show up this time.,frustration
341,No they won't.  It's like waiting for Santa Claus.,xxx
342,I feel like my whole life is going to be spent standing on this beach with my eyes wide open and my hands clasped expectantly waiting for fish to show up.  And the fish never show up.,frustration
343,I thought you wanted to see it.,xxx
344,You don't understand anything I am saying.,frustration
345,No. Of course not.,frustration
346,"I did want to see it, I still do, I always do.  I just...",xxx
347,"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",sadness
348,"It's just fish, it's nothing to get traumatized over.",frustration
349,"For God's sake, this is not about fish.",anger
350,Okay.  I'm trying to work this backwards and pinpoint the exact moment where we took a turn for the worst here.,frustration
351,"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",neutral
352,"Okay.  So I am putting out the pets, getting the car out of the garage.",neutral
353,Do you remember the first year we came here?  It was like four years after we got married.,neutral
354,"We thought I was pregnant, we got a bottle of champagne, we had no glasses.  We took off our shoes and you asked me to dance.",xxx
355,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",happiness
356,"Wait a minute, I got it.",xxx
357,"Drinking champagne from the bottle,",xxx
358,"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",neutral
359,dancing barefoot in the sand.,frustration
360,"That's what it is?  Right?  You want this to be like the other time, right?",frustration
361,I'd rather not remember some things.  I'd rather not hope for some things.,sadness
362,Sure.  All right.  Okay.,neutral
363,"Listen, do you want to dance?",neutral
364,No.,neutral
365,Do you want me to go get some champagne?,neutral
366,No.,xxx
367,Do you want to take off your shoes?,happiness
368,"No, no. Nothing.",frustration
369,Then what?,xxx
370,Do you want to get married again?,happiness
371,No.,neutral
372,What?  What?  Do you want a divorce?,other
373,A vacation?,xxx
374,No.,frustration
375,Like a new carpet?  A poodle?  A back rub?  Ice cream?  A suicide pact?  What do you want?  What the hell do you want?,xxx
376,I just want something to turn out like I expected it to.,xxx
377,"Well welcome to the human race, huh?  Do you think I had some grand fantasy going that four years down the line we would come to this beach and be arguing over fish?  No.",xxx
378,[BREATHING],frustration
379,"No I'm just like you.  I thought it was going to be all roses and peaches and the bills would just pay themselves.  And we'll have three, fat rosy cheeked children.  Huh, baby, the joke's on us.  Because you know what you get?",frustration
380,Do you know what you get?  You get this.,frustration
381,This? What is this?  This is nothing.  This isn't even anything.,frustration
382,Yes it is.,neutral
383,Sure.  This is standing on the beach waiting.  This is fighting.,xxx
384,Right,xxx
385,"I mean this is a lot of things, but it's just...",frustration
386,[BREATHING],frustration
387,Do you understand what I am saying?,frustration
388,I'm doing the best I can.,frustration
389,"I know you are Augie, I know.",sadness
390,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sadness
391,"Maybe if you were with someone else, too.",sadness
392,I didn't say that.,sadness
393,I just- I know I don't make you happy.,sadness
394,"Don't be ridiculous.  Anything that- anything I am doing, I'd rather be doing it with you.",surprise
395,Yeah?,surprise
396,Yeah.  Don't you know that?,surprise
397,For Heaven's sake Augie.,xxx
398,"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself.",sadness
399,"You know, actually now that you mention it, no I don't.",neutral
400,"So maybe we are in the wrong spot, but we are with the right person.",neutral
401,"I don't know, it seemed like such a good spot to me.",frustration
402,"We have a great view of the moon from here, though, huh?",neutral
403,"Hmm.  I noticed that, it's pretty. Big old white moon.",happiness
404,[BREATHING],neutral
405,And look what I got here.,happiness
406,"Augie, you bought refreshments.",happiness
407,It's not champagne.,xxx
408,I guess we don't need glasses.,happiness
409,[BREATHING],happiness
410,Do you want to go home?  Are you cold?,neutral
411,I'm beginning to think this might be the right spot after all.,happiness
412,"Augie, I'm sorry.",sadness
413,"Shh.  If we're very quiet, the fish might come.",neutral
414,Or not.,neutral
415,Or not.,happiness
416,Good God.,fear
417,Do you think it's them?,xxx
418,I wonder.,fear
419,Freda is the only one who knows we are here. She wouldn't ring up.,fear
420,Must be them then.,xxx
421,What we're going to do?,fear
422,"We're okay, right darling?  Whatever happens, we're okay?",fear
423,Now and always sweet.,happiness
424,I don't care then.,happiness
425,It had to happen sooner or later.,happiness
426,Yes... Hello?  Hello?  I'm sorry what's that?,xxx
427,"No, it's a wrong number.",xxx
428,"Oh, oh, that sent shivers on my spine.",xxx
429,[BREATHING] [LAUGHTER],xxx
430,Oh...,xxx
431,[BREATHING],xxx
432,[BREATHING],excited
433,What shall we do if they suddenly walk in on us?,xxx
434,Oh. Behave exquisitely...,happiness
435,With perfect poise...,happiness
436,[LAUGHTER] I think I shall do a court curtsey.,happiness
437,Ah...,happiness
438,[LAUGHTER],happiness
439,Ah...Strange...,happiness
440,Mmm...,happiness
441,"Things that just ought to matter dreadfully, you know they just don't matter at all when one is happy, do they?",happiness
442,The pity is that one can't stay happy.,xxx
443,"Darling, don't say that.",sadness
444,It's true.  I think the whole things a very poor joke.,xxx
445,"What, this sacred and beautiful thing, love?",xxx
446,"Oh, yes meaning just that.",happiness
447,"Oh, dear god what is that all mean, dear god?",happiness
448,[LAUGHTER] Don't laugh at me I'm being serious.,happiness
449,"You mustn't be so serious, darling, it just what they want.",happiness
450,Oh whose they?,xxx
451,"Oh you know all those superficial philosophers. We must laugh at them, be flippant.",xxx
452,Flippancy brings out the acid in their darn sweetness and light.,happiness
453,"Mmhmm If I must laugh at everything, I must laugh at us too.",happiness
454,Oh yes.  .,xxx
455,"How long will it last, this ludicrous, overbearing love of ours?",happiness
456,We are figures of fun all right,happiness
457,Ahh...who knows.,happiness
458,Shall we always want to bicker and fight?,happiness
459,"No, that will fade...Along with our passion...",xxx
460,"Oh, will we like that?",xxx
461,Well it depends on how well we've played.,xxx
462,If one of us dies...,happiness
463,does the one that's left still laugh?,xxx
464,"Yes, yes with the all his might.",xxx
465,"Well, that's serious enough isn't it?",xxx
466,"No, no, no, no death is very laughable it's a cunning little mystery, you know.  It's all done with mirrors.",xxx
467,I think you're talking nonsense.,happiness
468,"Ah so is everyone in the long run, huh?",xxx
469,Hmm.,xxx
470,"Let's pity the poor philosophers, huh?  Let's enjoy the party for as long as we can, okay?  Let's blow trumpets and squeakers and sit like small idiotic school children. [LAUGHTER]",excited
471,Ah.,xxx
472,"Come here darling, kiss me",excited
473,"Oh, Elliot.  Worms don't pop.",xxx
474,before your body rots and worms pop out of your eye sockets.,happiness
475,"See, you know I don't care what you do.  You could paint yourself green and run naked to the Place Vendome.",happiness
476,"Oh, thank you darling.",xxx
477,You could run off with all the men in a world. I won't say a word.  Just as long as you love me best.,xxx
478,"The same applies to you too, except you so much as look at another women I'll kill you.",xxx
479,Do you remember that row we did have in Venice?,happiness
480,Which particular one?,happiness
481,The one when you put that little wooden painted snake in my bed?,xxx
482,"Oh, Charles.  That was his name Charles. He did wriggle so beautifully.",excited
483,It was a horrible thing I hated it.,xxx
484,"Oh I know you threw it out the window and into the Grand Canal.  Oh, I'll never forgive you for that.",xxx
485,Of course how long did that row last?,xxx
486,It went on intermittently for days.,xxx
487,But you know it wasn't as bad as the one we had in Cannes...mmhmm...where your curling irons burnt a hole in my dressing gown.,excited
488,Cannes...mmhmm...,happiness
489,Oh it burnt my comb too and all those towels in the bathroom.,xxx
490,Oh that was a rouser wasn't it?,xxx
491,The manager came in he found us rolling about the floor.  [LAUGHTER],happiness
492,I will never forget the look on his face.,happiness
493,Scratching and biting like panthers. [LAUGHTER] Oh...,happiness
494,oh...,happiness
495,"Utterly, utterly ridiculous.",happiness
496,oh...[LAUGHTER],happiness
497,We were very much younger then.,happiness
498,Very much sillier.,happiness
499,"However, I do believe the real cause of that row was Peter Burden.",xxx
500,Oh you knew there was nothing in that.,excited
501,The only one I know still love his parents.,neutral
502,"Yeah, that kind of went out of style didn't it?",happiness
503,Oh it's not bad thing it's good thing.,neutral
504,"You know it's nice here, the air is sweet.",xxx
505,You're not sorry you came?,happiness
506,"Not sorry, no.  I can't stay here.",sadness
507,Why not?,sadness
508,For one thing your mother as much as told me to go.,neutral
509,Well.,xxx
510,[BREATHING] And then you've been kind of...,sadness
511,What?,neutral
512,You've been kind of embarrassed ever since I got here.,sadness
513,"I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.",xxx
514,"I knew they would, your mother anyway.",xxx
515,You did?,neutral
516,From her point of view why else would I come?,neutral
517,Yeah--,neutral
518,"So then would you want to?  I mean I guess, you kind of have to know, maybe that's why I asked you to come.",xxx
519,Well I guess that's why I came.,xxx
520,"Ann, I love you.  I love you.",happiness
521,I love you a great deal.,xxx
522,I'm sorry I don't really have much of an imagination.,xxx
523,"Chris,",xxx
524,"I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.",xxx
525,"I've been ready a long, long time.",xxx
526,So then he's gone.  You sure?,xxx
527,I almost got married two years ago.,neutral
528,Why didn't you?,neutral
529,You started to write me.,xxx
530,You felt something that far back?,xxx
531,Everyday since.,excited
532,why didn't you let me know?,excited
533,"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",excited
534,"Oh Annie, why don't you go ahead and give me a kiss, come on just a...",xxx
535,I kissed you.  I kissed Annie.,excited
536,I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.,happiness
537,I kissed you.,happiness
538,"Like Larry's brother.  Do what like you, Chris.",xxx
539,"Chris, what's the matter?",sadness
540,Do you want to go somewhere?  Let's go.,sadness
541,"No, what is it?  Is your mother?",sadness
542,"No, no, it's nothing like that.",sadness
543,"Well, then what?  You know, even in your letter you seem kind of ashamed.",xxx
544,I don't know it's--it's complicated. But it's going from me now.,sadness
545,You got to tell me.,sadness
546,I don't know.,sadness
547,It's kind of all mixed up with all these other things.,sadness
548,Wouldn't work like this.,sadness
549,you know over seas I was in command of the company?,sadness
550,"Yeah, sure.",sadness
551,Well I lost them.,sadness
552,How many?,sadness
553,Pretty much all.,sadness
554,[BREATHING]. Geez.,sadness
555,"Takes awhile to toss something like that off.  I mean they weren't just men, you know.",sadness
556,"For instance, there was this one time when this kid--it had been raining for like several days and he gave me his last pair of dry socks.",sadness
557,He just put it in my pocket that's the kind of guys I had.,sadness
558,"They didn't die they killed themselves for each other and I mean that exactly, you know a little more selfish and they'll all be here today...",sadness
559,"And I had this idea as I was watching them go down like everything was being destroyed, you know.  But I felt like this one new thing was being made, you know it's kind of like this.  This monument...",sadness
560,"You know, that they were bringing something on to this earth, a kind of sacrifice you know.",sadness
561,"I thought I would change everything you know, and I got back here and it was- it was like nothing had changed at all...",sadness
562,You know.  I went to work with dad and I started that whole rat race again...,sadness
563,And no one had changed it was just like sort of random bus accident to them.,sadness
564,Driving my new car and I felt guilty you know opening my bank book seeing a new refrigerator.,sadness
565,'Cause you can take those things out of a war.  But you have to realize that those things came out of the love that a man can have for another man...,sadness
566,And if you can't see that then it's just loot and there's blood all over it.,sadness
567,I felt ashamed and I didn't want any part of it.  I guess I included you too.,sadness
568,Do you still feel that way?,sadness
569,I want you to know Annie.,sadness
570,"'Cause you mustn't feel that way.  Everything you have, you have a right to...",xxx
571,Everything Chris do you understand that?  To me too...,xxx
572,And your money there's nothing wrong in your money.  Your father put hundreds of planes into the air.  You should be proud of that a man should be paid for that.,xxx
573,Annie...,xxx
574,I'm going to make a fortune for you.,happiness
